bill_number,session,session_type,action_date,action,order
HB15-1001,2015,RS,2015-01-07,Introduced In House - Assigned to Education + Appropriations,1
HB15-1001,2015,RS,2015-01-26,House Committee on Education Refer Amended to Appropriations,2
HB15-1001,2015,RS,2015-04-10,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1001,2015,RS,2015-04-13,House Second Reading Laid Over Daily - No Amendments,4
HB15-1001,2015,RS,2015-04-17,"House Second Reading Passed with Amendments - Committee, Floor",5
HB15-1001,2015,RS,2015-04-20,House Third Reading Laid Over Daily - No Amendments,6
HB15-1001,2015,RS,2015-04-22,House Third Reading Passed - No Amendments,7
HB15-1001,2015,RS,2015-04-22,Introduced In Senate - Assigned to Education + Appropriations,8
HB15-1001,2015,RS,2015-04-30,Senate Committee on Education Postpone Indefinitely,9
HB15-1002,2015,RS,2015-01-07,Introduced In House - Assigned to Business Affairs and Labor + Appropriations,1
HB15-1002,2015,RS,2015-02-03,House Committee on Business Affairs and Labor Witness Testimony and/or Committee Discussion Only,2
HB15-1002,2015,RS,2015-03-05,House Committee on Business Affairs and Labor Refer Amended to Appropriations,3
HB15-1002,2015,RS,2015-04-02,House Committee on Appropriations Refer Amended to House Committee of the Whole,4
HB15-1002,2015,RS,2015-04-06,House Second Reading Passed with Amendments - Committee,5
HB15-1002,2015,RS,2015-04-07,House Third Reading Passed - No Amendments,6
HB15-1002,2015,RS,2015-04-09,"Introduced In Senate - Assigned to Business, Labor, & Technology",7
HB15-1002,2015,RS,2015-04-29,"Senate Committee on Business, Labor, & Technology Postpone Indefinitely",8
HB15-1003,2015,RS,2015-01-07,Introduced In House - Assigned to Transportation & Energy,1
HB15-1003,2015,RS,2015-04-15,House Committee on Transportation & Energy Refer Amended to Appropriations,2
HB15-1003,2015,RS,2015-04-22,House Committee on Appropriations Refer Amended to House Committee of the Whole,3
HB15-1003,2015,RS,2015-04-23,House Second Reading Passed with Amendments - Committee,4
HB15-1003,2015,RS,2015-04-27,House Third Reading Passed - No Amendments,5
HB15-1003,2015,RS,2015-04-27,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
