bill_number,session,session_type,chamber,action_date,action,order
HB17-1001,2017,RS,House,2017-01-11,Introduced In House - Assigned to Education,1
HB17-1001,2017,RS,House,2017-02-06,House Committee on Education Refer Unamended to House Committee of the Whole,2
HB17-1001,2017,RS,House,2017-02-09,House Second Reading Passed - No Amendments,3
HB17-1001,2017,RS,House,2017-02-10,House Third Reading Passed - No Amendments,4
HB17-1001,2017,RS,Senate,2017-02-24,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",5
HB17-1001,2017,RS,Senate,2017-03-15,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",6
HB17-1002,2017,RS,House,2017-01-11,Introduced In House - Assigned to Finance + Appropriations,1
HB17-1002,2017,RS,House,2017-02-27,House Committee on Finance Refer Unamended to Appropriations,2
HB17-1002,2017,RS,House,2017-05-02,House Committee on Appropriations Refer Unamended to House Committee of the Whole,3
HB17-1002,2017,RS,House,2017-05-02,House Second Reading Special Order - Passed - No Amendments,4
HB17-1002,2017,RS,House,2017-05-03,House Third Reading Passed - No Amendments,5
HB17-1002,2017,RS,Senate,2017-05-03,Introduced In Senate - Assigned to Finance,6
HB17-1002,2017,RS,Senate,2017-05-05,Senate Committee on Finance Refer Unamended to Appropriations,7
HB17-1002,2017,RS,Senate,2017-05-09,Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole,8
HB17-1002,2017,RS,Senate,2017-05-09,Senate Second Reading Special Order - Passed with Amendments - Floor,9
HB17-1002,2017,RS,Senate,2017-05-10,Senate Third Reading Passed with Amendments - Floor,10
HB17-1002,2017,RS,House,2017-05-10,House Considered Senate Amendments - Result was to Concur - Repass,11
HB17-1002,2017,RS,Senate,2017-05-19,Signed by the President of the Senate,12
HB17-1002,2017,RS,House,2017-05-19,Signed by the Speaker of the House,13
HB17-1002,2017,RS,Governor,2017-05-22,Sent to the Governor,14
HB17-1002,2017,RS,Governor,2017-06-02,Governor Signed,15
HB17-1003,2017,RS,House,2017-01-11,Introduced In House - Assigned to Education,1
HB17-1003,2017,RS,House,2017-03-20,House Committee on Education Refer Unamended to House Committee of the Whole,2
HB17-1003,2017,RS,House,2017-03-23,House Second Reading Laid Over Daily - No Amendments,3
HB17-1003,2017,RS,House,2017-03-24,House Second Reading Passed with Amendments - Floor,4
HB17-1003,2017,RS,House,2017-03-27,House Third Reading Passed - No Amendments,5
HB17-1003,2017,RS,Senate,2017-03-31,Introduced In Senate - Assigned to Education,6
HB17-1003,2017,RS,Senate,2017-04-12,Senate Committee on Education Refer Amended to Senate Committee of the Whole,7
HB17-1003,2017,RS,Senate,2017-04-18,"Senate Second Reading Passed with Amendments - Committee, Floor",8
HB17-1003,2017,RS,Senate,2017-04-19,Senate Third Reading Passed - No Amendments,9
HB17-1003,2017,RS,House,2017-04-20,House Considered Senate Amendments - Result was to Laid Over Daily,10
HB17-1003,2017,RS,House,2017-04-21,House Considered Senate Amendments - Result was to Concur - Repass,11
HB17-1003,2017,RS,House,2017-05-15,Signed by the Speaker of the House,12
HB17-1003,2017,RS,Senate,2017-05-18,Signed by the President of the Senate,13
HB17-1003,2017,RS,Governor,2017-05-18,Sent to the Governor,14
HB17-1003,2017,RS,Governor,2017-05-21,Governor Signed,15
HB17-1004,2017,RS,House,2017-01-11,Introduced In House - Assigned to Education,1
HB17-1004,2017,RS,House,2017-03-27,House Committee on Education Refer Amended to Appropriations,2
HB17-1004,2017,RS,House,2017-04-04,House Committee on Appropriations Refer Unamended to House Committee of the Whole,3
HB17-1004,2017,RS,House,2017-04-04,House Second Reading Special Order - Passed with Amendments - Committee,4
HB17-1004,2017,RS,House,2017-04-05,House Third Reading Passed - No Amendments,5
HB17-1004,2017,RS,Senate,2017-04-07,Introduced In Senate - Assigned to Education,6
HB17-1004,2017,RS,Senate,2017-04-20,Senate Committee on Education Refer Amended - Consent Calendar to Senate Committee of the Whole,7
HB17-1004,2017,RS,Senate,2017-04-25,Senate Second Reading Passed with Amendments - Committee,8
HB17-1004,2017,RS,Senate,2017-04-26,Senate Third Reading Passed - No Amendments,9
HB17-1004,2017,RS,House,2017-04-27,House Considered Senate Amendments - Result was to Laid Over to 05/01/2017,10
HB17-1004,2017,RS,House,2017-05-01,House Considered Senate Amendments - Result was to Laid Over Daily,11
HB17-1004,2017,RS,House,2017-05-02,House Considered Senate Amendments - Result was to Not Concur - Request Conference Committee,12
HB17-1004,2017,RS,Senate,2017-05-09,Senate Consideration of First Conference Committee Report result was to Adopt Committee Report - Repass,13
HB17-1004,2017,RS,House,2017-05-09,House Consideration of First Conference Committee Report result was to Adopt Committee Report - Repass,14
HB17-1004,2017,RS,House,2017-05-22,Signed by the Speaker of the House,15
HB17-1004,2017,RS,Senate,2017-05-24,Signed by the President of the Senate,16
HB17-1004,2017,RS,Governor,2017-05-24,Sent to the Governor,17
HB17-1004,2017,RS,Governor,2017-06-01,Governor Signed,18
HB17-1005,2017,RS,House,2017-01-11,"Introduced In House - Assigned to State, Veterans, & Military Affairs",1
HB17-1005,2017,RS,House,2017-01-19,"House Committee on State, Veterans, & Military Affairs Refer Unamended to House Committee of the Whole",2
HB17-1005,2017,RS,House,2017-01-23,House Second Reading Laid Over to 01/26/2017 - No Amendments,3
HB17-1005,2017,RS,House,2017-01-26,House Second Reading Passed - No Amendments,4
HB17-1005,2017,RS,House,2017-01-31,House Third Reading Passed - No Amendments,5
HB17-1005,2017,RS,Senate,2017-01-31,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs",6
HB17-1005,2017,RS,Senate,2017-02-15,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended - Consent Calendar to Senate Committee of the Whole",7
HB17-1005,2017,RS,Senate,2017-02-21,Senate Second Reading Passed - No Amendments,8
HB17-1005,2017,RS,Senate,2017-02-22,Senate Third Reading Passed - No Amendments,9
HB17-1005,2017,RS,House,2017-02-27,Signed by the Speaker of the House,10
HB17-1005,2017,RS,Senate,2017-02-27,Signed by the President of the Senate,11
HB17-1005,2017,RS,Governor,2017-02-27,Sent to the Governor,12
HB17-1005,2017,RS,Governor,2017-03-01,Governor Signed,13
HB17-1006,2017,RS,House,2017-01-11,Introduced In House - Assigned to Judiciary,1
HB17-1006,2017,RS,House,2017-01-24,House Committee on Judiciary Refer Unamended to House Committee of the Whole,2
HB17-1006,2017,RS,House,2017-01-26,House Second Reading Laid Over to 01/30/2017 - No Amendments,3
HB17-1006,2017,RS,House,2017-01-30,House Second Reading Passed - No Amendments,4
