"bill_id","term","session","title","keywords","long_title","summary","commem"
"HB23-1001","2023_2024","2023-RS","Expanding Assistance For Educator Programs","Higher Education","Concerning expanding financial assistance for educator programs.","The act expands student eligibility for the educator preparation stipend programs by increasing students' expected family contribution from no more than 200% to no more than 250% of the maximum federal Pell-eligible expected family contribution. For the 2022-23 and 2023-24 state fiscal years, expected family contribution is temporarily expanded to no more than 300% of the maximum federal Pell-eligible expected family contribution. The act allows a student who is eligible for the student educator stipend program to be placed as a student educator in a school- or community-based setting in Colorado or within 100 miles of the Colorado state border. The act modifies the Colorado commission on higher education considerations of student eligibility for the educator preparation stipend programs specific to funds appropriated for the programs from the economic recovery and relief cash fund. The act broadens the temporary educator loan forgiveness program (forgiveness program) requirements to allow applicants to be principals or special service providers in addition to teachers. The act extends the forgiveness program through July 2023, removes requirements that a school's at-risk student population must exceed 60% in order for an educator to be eligible for the forgiveness program, and expands qualified positions to include positions in any public school, board of cooperative services, or facility school in Colorado. The act also changes how the program prioritizes applicants for the program. The act directs a portion of the appropriation for the 2022-23 state fiscal year to the department of education for a portfolio management system to facilitate the multiple measures approach to the assessment professional competencies. APPROVED by Governor April 10, 2023 EFFECTIVE April 10, 2023 (Note: This summary applies to this bill as enacted.)",0
"HB23-1002","2023_2024","2023-RS","Epinephrine Auto-injectors","Health Care & Health Insurance
Professions & Occupations","Concerning the affordability of epinephrine auto-injectors, and, in connection therewith, making an appropriation.","For health coverage plans issued or renewed on or after January 1, 2024, the act requires a health insurance carrier (carrier) that provides coverage for prescription auto-injectors (injectors) to cap the total amount that a covered person is required to pay for injectors at an amount not to exceed $60 for a 2-pack of the injectors. The act allows coverage for injectors to be offered through a high deductible plan that qualifies for a health savings account, and a carrier may apply deductible amounts if the coverage is not considered by the United States department of the treasury to be preventive or to have an acceptable deductible amount. Effective January 1, 2024, the act creates an epinephrine auto-injector affordability program (program) to provide low-cost injectors to eligible individuals. By January 1, 2024, each manufacturer must establish procedures and make injectors available as prescribed in the act to eligible individuals who hold a valid prescription for injectors. The act establishes eligibility requirements that residents of Colorado must meet in order to be eligible for the program. The act requires the division of insurance in the department of regulatory agencies (division) to create an application for the program for use by an individual seeking injectors through the program and requires the division and the department of health care policy and financing to make the application available on their websites and to promote the availability of the program. A pharmacy that dispenses injectors is authorized to collect a copayment not to exceed $60 from the individual to cover the pharmacy's costs of processing and dispensing a 2-pack of injectors. A manufacturer of injectors: Is required to make injectors available to individuals through the program; May be required to reimburse the dispensing pharmacy in an amount that the pharmacy paid for the number of injectors dispensed through the program or send the pharmacy a replacement supply of the same number of injectors; Is required to develop a process for a pharmacy to submit electronic reimbursement claims. If a manufacturer fails to comply with the requirements of the act, the manufacturer engages in a deceptive trade practice and is subject to a $10,000 fine for each month of noncompliance. The act appropriates $58,291 from the division of insurance cash fund to the department of regulatory agencies for use by the division of insurance to implement the act. APPROVED by Governor June 7, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)",0
"HB23-1003","2023_2024","2023-RS","School Mental Health Assessment","Public Health","Concerning the creation of the ""Sixth Through Twelfth Grade Mental Health Screening Act"", and, in connection therewith, making an appropriation.","The act creates the sixth through twelfth grade mental health screening program (program) administered by the behavioral health administration (BHA) to identify risks and provide resources and referrals related to student mental and emotional health needs. The act allows any public school that serves any of grades 6 through 12 and meets certain requirements to participate in the program. The act requires participating schools to provide written notice to the parents of students within the first 2 weeks of the start of the school year in order to allow parents to opt their child out of the program. Mental health screenings must be conducted in participating schools by a screener selected through a request for proposals process. The act requires a screener to notify a student's parent if the screener determines that additional mental health services are needed based on the student's mental health screening results. Students who are home-schooled but who participate in extracurricular activities or athletic programs at a participating school are exempt from the program. The act appropriates $475,278 from the general fund to the department of human services for community-based mental health services related to the program. APPROVED by Governor June 5, 2023 EFFECTIVE June 5, 2023 (Note: This summary applies to this bill as enacted.)",0
"HB23-1004","2023_2024","2023-RS","Language Access In Insurance Documents","Insurance","Concerning requirements regarding the language used in certain insurance documents.","Current law allows insurance policies to be translated to and issued in a language other than English if the insurer certifies that the English-language policy that is translated complies with state insurance laws. Section 1 of the act requires the insurer to also certify that the policy has been correctly translated by a certified translator or, if a certified translator is not available to translate the policy to the particular language, by a qualified translator who certifies that the translation is correct. Section 2 requires insurers that issue commercial or personal automobile, homeowners', or renters' insurance policies to offer, make available, and issue the policy application, the policy, and related documents and forms in the same language that the insurer used in advertisements for the policy and to offer an applicant a form to select the applicant's language of choice for those documents. Section 2 also specifies remedies for an insurer's failure to comply with this requirement. APPROVED by Governor April 11, 2023 EFFECTIVE January 1, 2024 NOTE: This act was passed without a safety clause. (Note: This summary applies to this bill as enacted.)",0
"HB23-1005","2023_2024","2023-RS","New Energy Improvement Program Changes","State Government","Concerning changes to the new energy improvement program, and, in connection therewith, adding resiliency improvements and water efficiency improvements to the program, modifying the new energy improvement district's notice requirements, and removing the district's hearing requirement.","The commercial property assessed clean energy program (C-PACE) is part of the new energy improvement program. C-PACE allows owners of eligible real property to apply to the Colorado new energy improvement district (district) to finance certain energy efficiency improvements. The act allows owners to also apply to the district to finance resiliency improvements and water efficiency improvements. Additionally, when the district approves a C-PACE application, an owner consents to the district levying a special assessment on an owner's eligible real property. Current law requires the district to notify district members and existing lienholders about the special assessment and the availability of a hearing to resolve any complaints or objections. After a hearing, current law further requires the district to pass a resolution resolving any complaints or objections. The act eliminates the requirements for the district to give notice about a hearing, conduct a hearing, and pass a resolution resolving complaints or objections. Instead of notifying district members and existing lienholders about the availability of a hearing, the act requires the district to send a notice of assessment, which specifies the amount of the special assessment to be levied on the eligible real property and explains that the special assessment constitutes a lien against the eligible real property. APPROVED by Governor March 8, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1006","2023_2024","2023-RS","Employer Notice Of Income Tax Credits","Fiscal Policy & Taxes","Concerning the notice requirements of employers regarding income tax credits, and, in connection therewith, requiring employers to notify employees of the availability of the federal earned income tax credit, the state earned income tax credit, the federal child tax credit, and the state child tax credit.","The law has required an employer to provide its employees with an annual statement showing the total compensation paid and the income tax withheld for the preceding calendar year. The act requires an employer to also provide written notice of the availability of the federal and state earned income tax credits and the federal and state child tax credits at least once annually. An employer may send the written notice to employees electronically, including via e-mail or text message. The written notice must be in English and any other language the employer uses to communicate with employees and must include any additional content that the department of revenue prescribes. APPROVED by Governor March 31, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1007","2023_2024","2023-RS","Higher Education Crisis And Suicide Prevention","Higher Education","Concerning crisis services information on student identification cards.","The act requires public and private higher education institutions to print Colorado and national crisis and suicide prevention contact information on student identification cards. If an institution does not use student identification cards, the act requires the school to distribute Colorado and national crisis and suicide prevention contact information to the student body each semester or trimester. APPROVED by Governor March 17, 2023 EFFECTIVE March 17, 2023 (Note: This summary applies to this bill as enacted.)",0
"HB23-1008","2023_2024","2023-RS","Food Accessibility","Fiscal Policy & Taxes","Concerning tax policies related to the accessibility of food, and, in connection therewith, requiring additions to Colorado taxable income in amounts equal to the business meals federal itemized deduction, creating a tax credit to support the small business recovery and resilience grant program, providing funding for healthy eating program incentives, and making an appropriation.","Section 2 of the act appropriates $250,000 to the prevention services division (division) within the department of public health and environment to partner with a statewide nonprofit organization to provide healthy eating program incentives among low-income populations in the state and must attempt to improve access to fresh Colorado-grown fruits and vegetables among low-income populations in the state. The nonprofit organization that the division selects for partnership must have experience in supporting healthy eating incentives programs and experience with coordinating healthy eating programs and funding between local, state, and federal programs. Section 3 requires individual taxpayers to add an amount of federal taxable income equal to their federal deduction for business meals to their state income tax liability for the 2024 through 2030 income tax years. Section 4 requires the same of corporate taxpayers. Section 5 creates a refundable tax credit for both small food retailers and small family farms that purchase certain systems or equipment (purchasers) and a member of the community food consortium for small food retailers and Colorado-owned and Colorado-operated farms (the consortium) that completes its duties and responsibilities. For the 2024 income tax year, the tax credit is equal to 85% of the cost of the amount spent by a member of the consortium on completing its duties and 85% of the cost of the systems or equipment purchased by purchasers. For income tax years 2025 through 2030, the tax credit is equal to 75% of the cost of the systems or equipment purchased by the small food retailers and small family farms and 75% of the amount spent by a member of the consortium on completing its duties. Section 6 modifies the small food business recovery and resilience grant program (grant program). Section 6: Allows the department of agriculture to award grants of up to $50,000, rather than $25,000; Allows the department to annually award a grant to a grantee, rather than only once; Modifies the definition of ""small food retailer"" to include food retailers with less than 10,000 square feet or retail space, rather than less than 5,000 square feet of retail space; and Extends the repeal date of the grant program from September 1, 2027, to September 1, 2031. For the 2023-24 state fiscal year, $360,413 from the general fund is appropriated to the department of agriculture and $44,411 is appropriated to the department of law to provide legal services for the department of agriculture, which consists of money reappropriated from a portion of the appropriation made to the department of agriculture. APPROVED by Governor June 2, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1009","2023_2024","2023-RS","Secondary School Student Substance Use","Education & School Finance (Pre & K-12)","Concerning measures to improve services for students who use substances, and, in connection therewith, making an appropriation.","The act creates the secondary school student substance use committee (committee) in the department of education (department) to develop a practice, or identify or modify an existing practice, for secondary schools to implement that identifies students who need substance use treatment, offers a brief intervention, and refers the students to substance use treatment resources. The department is required to publicly publish a report of the committee's findings and submit the report to the superintendent of every school district and chief administrator of every institute charter school that is a secondary school. For the 2023-24 budget year, $49,950 is appropriated from the general fund to the department to implement the act. APPROVED by Governor April 26, 2023 EFFECTIVE August 7, 2023 NOTE: This act was passed without a safety clause and takes effect 90 days after sine die. (Note: This summary applies to this bill as enacted.)",0
"HB23-1010","2023_2024","2023-RS","Task Force On High-altitude Water Storage","Water","Concerning a task force to study the feasibility of high-altitude water storage in Colorado.","Water Resources and Agriculture Review Committee. The bill creates a task force to study the feasibility of implementing water storage in the form of snow in high-altitude areas of the state (task force). The task force must submit a report to the water resources and agriculture review committee on or before June 1, 2024, which report: Describes the feasibility of implementing high-altitude water storage in Colorado; Describes findings and recommendations regarding issues considered by the task force; and Describes any legislative proposals associated with the implementation of high-altitude water storage in Colorado, including identification of any state agencies that will be responsible for implementing legislative directives and identification of funding sources. The task force is repealed, effective December 1, 2024. (Note: This summary applies to this bill as introduced.)",0
