"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Leslie Herod","l. herod",18721,"2021_2022","House","HD-008","D",3.7029202194998,1,0.0482478415439309,0.0482478415439309,0.0590612371774946,0.059430716296528,0.0613496932515337,36,36,36,36,36,2,2,2,2,2,34,34,34,34,34,0,0,0,0,0,3.72262606311363,36,1,1,NA
"Julie McCluskie","j. mccluskie",20025,"2021_2022","House","HD-061","D",3.41058441269719,2,0.0444388014220416,0.0444388014220416,0.0543985079266397,0.0547388176415389,0.0565062964158863,34,34,34,34,34,1,1,1,1,1,33,33,33,33,33,0,0,0,0,0,3.51581350405176,34,1,1,NA
"Mary Bradfield","m. bradfield",22222,"2021_2022","House","HD-021","R",2.2582717777088,3,0.0330116810563738,0.0330116810563738,0.0341933478396021,0.034407256803253,0.0339037778495318,24,24,20,20,19,2,2,2,2,2,22,22,18,18,17,0,0,0,0,0,2.18845653603287,24,0.833333333333333,0.791666666666667,NA
"Daneya Esgar","d. esgar",16570,"2021_2022","House","HD-046","D",2.24124118548672,4,0.0292026409344845,0.0292026409344845,0.0357475909232204,0.0359712230215827,0.0371327090732967,21,21,21,21,21,2,2,2,2,2,19,19,19,19,19,0,0,0,0,0,2.17153187014962,21,1,1,NA
"Serena Gonzales-Gutierrez","s. gonzales-gutierrez",20134,"2021_2022","House","HD-004","D",2.00308296921986,5,0.026663280853225,0.026663280853225,0.0326391047559838,0.0328432905849234,0.0306748466257669,20,20,20,20,19,1,1,1,1,0,19,19,19,19,19,0,0,0,0,0,2.04514102801148,20,1,0.95,NA
"Shannon Bird","s. bird",20127,"2021_2022","House","HD-035","D",1.86238560210078,6,0.0256475368207212,0.0256475368207212,0.0298414672054709,0.0284641851736003,0.0293832741362609,20,20,19,18,18,1,1,1,1,1,18,18,17,16,16,1,1,1,1,1,1.95519300778973,20,0.9,0.9,NA
"Judith Amabile","j. amabile",22219,"2021_2022","House","HD-013","D",1.78804226590457,7,0.0241239207719655,0.0241239207719655,0.027976375505129,0.0281513919299343,0.0290603810138844,18,18,17,17,17,1,1,1,1,1,17,17,16,16,16,0,0,0,0,0,1.79373562903123,18,0.944444444444444,0.944444444444444,NA
"Jennifer Bacon","j. bacon",22220,"2021_2022","House","HD-007","D",1.75716817339578,8,0.0253936008125952,0.0253936008125952,0.027976375505129,0.0281513919299343,0.024216984178237,19,19,17,17,15,1,1,1,1,0,18,18,16,16,15,0,0,0,0,0,1.78359538082217,19,0.894736842105263,0.789473684210526,NA
"Adrienne Benavidez","a. benavidez",18710,"2021_2022","House","HD-032","D",1.59315172803616,9,0.0215845606907059,0.0215845606907059,0.0248678893378924,0.0250234594932749,0.0258314497901195,16,16,15,15,15,1,1,1,1,1,15,15,14,14,14,0,0,0,0,0,1.58692306996936,16,0.9375,0.9375,NA
"Cathy Kipp","c. kipp",20159,"2021_2022","House","HD-052","D",1.46167903401308,10,0.0190452006094464,0.0190452006094464,0.0233136462542742,0.0234594932749453,0.024216984178237,14,14,14,14,14,1,1,1,1,1,13,13,13,13,13,0,0,0,0,0,1.44768791343308,14,1,1,NA
"Yadira Caraveo","y. caraveo",20130,"2021_2022","House","HD-031","D",1.4106547760574,11,0.0203148806500762,0.0203148806500762,0.0217594031706559,0.0218955270566156,0.0209880529544721,14,14,12,12,11,2,2,2,2,2,12,12,10,10,9,0,0,0,0,0,1.2895485457747,14,0.857142857142857,0.785714285714286,NA
"Edith Hooton","e. hooton",19209,"2021_2022","House","HD-010","D",1.39826119016775,12,0.0190452006094464,0.0190452006094464,0.0217594031706559,0.0218955270566156,0.0226025185663545,13,13,12,12,12,2,2,2,2,2,11,11,10,10,10,0,0,0,0,0,1.27670423137656,13,0.923076923076923,0.923076923076923,NA
"Andrew Boesenecker","a. boesenecker",22921,"2021_2022","House","HD-053","D",1.39677751641541,13,0.0190452006094464,0.0190452006094464,0.0233136462542742,0.0234594932749453,0.0193735873425896,10,10,10,10,8,5,5,5,5,4,5,5,5,5,4,0,0,0,0,0,0.988093670094934,10,1,0.8,NA
"Colin Larson","c. larson",20135,"2021_2022","House","HD-022","R",1.39365794319061,14,0.0228542407313357,0.0228542407313357,0.0202051600870376,0.0203315608382859,0.0177591217307071,18,18,13,13,11,0,0,0,0,0,18,18,13,13,11,0,0,0,0,0,1.47745689371447,18,0.722222222222222,0.611111111111111,NA
"Thomas Exum","t. exum",15133,"2021_2022","House","HD-017","D",1.36423376507887,15,0.0177755205688167,0.0177755205688167,0.0217594031706559,0.0218955270566156,0.0226025185663545,14,14,14,14,14,0,0,0,0,0,14,14,14,14,14,0,0,0,0,0,1.44768791343308,14,1,1,NA
"Lindsey Daugherty","l. daugherty",22223,"2021_2022","House","HD-029","D",1.32164277855403,16,0.0177755205688167,0.0177755205688167,0.0217594031706559,0.0203315608382859,0.0209880529544721,14,14,14,13,13,0,0,0,0,0,14,14,14,13,13,0,0,0,0,0,1.40233273312971,14,0.928571428571429,0.928571428571429,NA
"Matt Gray","m. gray",18722,"2021_2022","House","HD-033","D",1.30545292756597,17,0.0203148806500762,0.0203148806500762,0.0186509170034193,0.0187675946199562,0.0193735873425896,14,14,10,10,10,2,2,2,2,2,12,12,8,8,8,0,0,0,0,0,1.17737830333073,14,0.714285714285714,0.714285714285714,NA
"Lisa Cutter","l. cutter",20131,"2021_2022","House","HD-025","D",1.30081592123355,18,0.0177755205688167,0.0177755205688167,0.0202051600870376,0.0203315608382859,0.0209880529544721,14,14,13,13,13,0,0,0,0,0,14,14,13,13,13,0,0,0,0,0,1.38011051090749,14,0.928571428571429,0.928571428571429,NA
