Date,State,Bill No,Title,Action
"May 8, 2024",CO,SB 24-065,Prohibits Individuals from Texting or Performing Other Functions on a Mobile Device While Operating a Motor Vehicle,"Conference Report Adopted
                           - Senate
                      

                      
                          (28 - 7)"
"May 8, 2024",CO,SB 24-065,Prohibits Individuals from Texting or Performing Other Functions on a Mobile Device While Operating a Motor Vehicle,"Conference Report Adopted
                           - House
                      

                      
                          (57 - 6)"
"May 8, 2024",CO,SB 24-233,Reduces Property Taxes for Most State Residents,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (33 - 2)"
"May 8, 2024",CO,HB 24-1280,Establishes Grant Programs for Community-Based Organizations to Provide Appropriate Services for Migrants who Have ...,"Concurrence Vote Passed
                           - House
                      

                      
                          (41 - 20)"
"May 8, 2024",CO,SB 24-205,Authorizes Broad Artificial Intelligence (AI) Regulations Over Employment Decisions,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 7)"
"May 8, 2024",CO,SB 24-231,Authorizes Certain Actions For Alcohol Retailers and Liquor License Holders,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (34 - 1)"
"May 8, 2024",CO,HB 24-1307,Prohibits School Districts from Using Federal Funding to Hire Uncertified HVAC Contractors,"Concurrence Vote Passed
                           - House
                      

                      
                          (45 - 18)"
"May 8, 2024",CO,SB 24-182,Amends the ID Requirement for the Colorado Road and Community Safety Act,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 12)"
"May 8, 2024",CO,SB 24-205,Authorizes Broad Artificial Intelligence (AI) Regulations Over Employment Decisions,"Bill Passed
                           - House
                      

                      
                          (41 - 22)"
"May 8, 2024",CO,SB 24-233,Reduces Property Taxes for Most State Residents,"Bill Passed
                           - House
                      

                      
                          (57 - 6)"
"May 8, 2024",CO,SB 24-231,Authorizes Certain Actions For Alcohol Retailers and Liquor License Holders,"Bill Passed
                           - House
                      

                      
                          (59 - 4)"
"May 8, 2024",CO,HB 24-1280,Establishes Grant Programs for Community-Based Organizations to Provide Appropriate Services for Migrants who Have ...,"Bill Passed
                           - Senate
                      

                      
                          (21 - 12)"
"May 8, 2024",CO,HB 24-1219,Expands State Funding for Firefighter Benefits to Include Part-Time and Volunteer Firefighters,"Bill Passed
                           - Senate
                      

                      
                          (31 - 2)"
"May 8, 2024",CO,SB 24-055,Expands Mental Health Support Programs for Individuals in the Agriculture Industry,"Bill Passed
                           - House
                      

                      
                          (59 - 4)"
"May 7, 2024",CO,HB 24-1313,Requires Cities to Allow For Denser Housing Development in Transit-Oriented Communities,"Concurrence Vote Passed
                           - House
                      

                      
                          (40 - 24)"
"May 7, 2024",CO,HB 24-1152,Establishes Requirements for Accessory Dwelling Units,"Concurrence Vote Passed
                           - House
                      

                      
                          (47 - 17)"
"May 7, 2024",CO,HB 24-1307,Prohibits School Districts from Using Federal Funding to Hire Uncertified HVAC Contractors,"Bill Passed
                           - Senate
                      

                      
                          (22 - 13)"
"May 7, 2024",CO,HB 24-1313,Requires Cities to Allow For Denser Housing Development in Transit-Oriented Communities,"Bill Passed
                           - Senate
                      

                      
                          (19 - 15)"
"May 7, 2024",CO,SB 24-182,Amends the ID Requirement for the Colorado Road and Community Safety Act,"Bill Passed
                           - House
                      

                      
                          (43 - 19)"
"May 7, 2024",CO,SB 24-078,Establishes Outdoor Nature-Based Preschool Programs as Child Care,"Bill Passed
                           - House
                      

                      
                          (53 - 10)"
"May 7, 2024",CO,HB 24-1004,Prohibits Certain Individuals Convicted of Certain Crimes from Receiving Licenses in Specific Occupations that are ...,"Bill Passed
                           - Senate
                      

                      
                          (35 - 0)"
"May 7, 2024",CO,HB 24-1008,Establishes New Wage Theft Protections for Construction Workers,"Bill Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 7, 2024",CO,SB 24-168,Requires the Colorado Department of Health Care Policy and Financing to Provide Reimbursement for Telehealth,"Bill Passed
                           - House
                      

                      
                          (61 - 1)"
"May 6, 2024",CO,HB 24-1379,Requires the State's Water Quality Control Commission to Establish Rules by the End of 2025,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (25 - 9)"
"May 6, 2024",CO,SB 24-053,Establishes an Independent Study on an Evaluation of Racial Equity for Black Coloradans,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 12)"
"May 6, 2024",CO,SB 24-210,Amends Various Election Laws Including Delaying Implementation of State Ranked Choice Voting,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 6)"
"May 6, 2024",CO,SB 24-229,Requires State Regulators Codify Pre-Established Targets to Reduce Ozone (Nitrogen-Oxide) Emissions,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"May 6, 2024",CO,HB 24-1304,Prohibits Cities From Enforcing Minimum Parking Requirements,"Concurrence Vote Passed
                           - House
                      

                      
                          (40 - 22)"
"May 6, 2024",CO,HB 24-1216,Establishes Support for Juveniles in the Justice System to Graduate,"Concurrence Vote Passed
                           - House
                      

                      
                          (46 - 17)"
"May 6, 2024",CO,HB 24-1378,Establishes Greater Consumer Protection in Event Ticket Sales,"Concurrence Vote Passed
                           - House
                      

                      
                          (57 - 6)"
"May 6, 2024",CO,HB 24-1262,Appropriates Resources for the Usage of Maternal Midwives in Colorado Healthcare Industry,"Concurrence Vote Passed
                           - House
                      

                      
                          (54 - 8)"
"May 6, 2024",CO,SB 24-150,Requires Municipal Solid Waste Combustion Facilities be Ineligible for State Tax Incentives,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (22 - 12)"
"May 6, 2024",CO,SB 24-113,Requires Employees and Volunteer Coaches Obtain a Criminal Background Check if They Travel for Games,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 11)"
"May 6, 2024",CO,HB 24-1379,Requires the State's Water Quality Control Commission to Establish Rules by the End of 2025,"Concurrence Vote Passed
                           - House
                      

                      
                          (56 - 7)"
"May 6, 2024",CO,SB 24-150,Requires Municipal Solid Waste Combustion Facilities be Ineligible for State Tax Incentives,"Bill Passed
                           - House
                      

                      
                          (41 - 17)"
"May 6, 2024",CO,HB 24-1152,Establishes Requirements for Accessory Dwelling Units,"Bill Passed
                           - Senate
                      

                      
                          (20 - 15)"
"May 6, 2024",CO,SB 24-113,Requires Employees and Volunteer Coaches Obtain a Criminal Background Check if They Travel for Games,"Bill Passed
                           - House
                      

                      
                          (40 - 18)"
"May 6, 2024",CO,SB 24-229,Requires State Regulators Codify Pre-Established Targets to Reduce Ozone (Nitrogen-Oxide) Emissions,"Bill Passed
                           - House
                      

                      
                          (43 - 18)"
"May 6, 2024",CO,SB 24-210,Amends Various Election Laws Including Delaying Implementation of State Ranked Choice Voting,"Bill Passed
                           - House
                      

                      
                          (53 - 9)"
"May 6, 2024",CO,HB 24-1378,Establishes Greater Consumer Protection in Event Ticket Sales,"Bill Passed
                           - Senate
                      

                      
                          (25 - 9)"
"May 6, 2024",CO,HB 24-1001,Extends the State's Rural Jump-Start Program,"Bill Passed
                           - Senate
                      

                      
                          (25 - 9)"
"May 6, 2024",CO,HB 24-1282,Increases Measures to Support Success Rates of Ninth-Grade Students in Public High Schools in Colorado,"Bill Passed
                           - Senate
                      

                      
                          (25 - 9)"
"May 6, 2024",CO,SB 24-230,Increases Support for Statewide Remediation Services for the Environment,"Bill Passed
                           - House
                      

                      
                          (40 - 18)"
"May 6, 2024",CO,HB 24-1237,Establishes 3 new Programs Within the Division of Housing to Support the Development of Child Care Facilities,"Bill Passed
                           - Senate
                      

                      
                          (25 - 9)"
"May 5, 2024",CO,SB 24-149,Amends State Worker Compensation Insurance Laws,"Bill Passed
                           - House
                      

                      
                          (43 - 19)"
"May 4, 2024",CO,HB 24-1348,Requires Firearms be Kept in Lock Boxes when in Vehicles,"Conference Report Adopted
                           - House
                      

                      
                          (35 - 24)"
"May 4, 2024",CO,HB 24-1010,Prohibits Health Insurance Providers from Limiting Access to Certain Prescription Drugs,"Concurrence Vote Passed
                           - House
                      

                      
                          (50 - 10)"
"May 4, 2024",CO,HB 24-1080,"Requires Private Youth Sports Organizations Have an Adult Certified in First Aid, CPR, and AED Treatment","Concurrence Vote Passed
                           - House
                      

                      
                          (45 - 15)"
"May 4, 2024",CO,HB 24-1304,Prohibits Cities From Enforcing Minimum Parking Requirements,"Bill Passed
                           - Senate
                      

                      
                          (19 - 15)"
"May 4, 2024",CO,HB 24-1216,Establishes Support for Juveniles in the Justice System to Graduate,"Bill Passed
                           - Senate
                      

                      
                          (22 - 11)"
"May 4, 2024",CO,HB 24-1262,Appropriates Resources for the Usage of Maternal Midwives in Colorado Healthcare Industry,"Bill Passed
                           - Senate
                      

                      
                          (24 - 7)"
"May 4, 2024",CO,SB 24-190,Expands the Rural Opportunity Office's Role in Supporting Diversification in Workforce Training,"Bill Passed
                           - House
                      

                      
                          (47 - 14)"
"May 4, 2024",CO,HB 24-1260,Prohibits Employers from Disciplining Workers Who Refuse to Attend Employer-Sponsored Meetings,"Bill Passed
                           - Senate
                      

                      
                          (23 - 11)"
"May 4, 2024",CO,SB 24-230,Increases Support for Statewide Remediation Services for the Environment,"Bill Passed
                           - Senate
                      

                      
                          (21 - 12)"
"May 4, 2024",CO,HB 24-1219,Expands State Funding for Firefighter Benefits to Include Part-Time and Volunteer Firefighters,"Bill Passed
                           - House
                      

                      
                          (56 - 3)"
"May 3, 2024",CO,SB 24-053,Establishes an Independent Study on an Evaluation of Racial Equity for Black Coloradans,"Bill Passed
                           - House
                      

                      
                          (45 - 19)"
"May 3, 2024",CO,SB 24-171,Authorizes the Reintroduction of Wolverines Into the State,"Bill Passed
                           - House
                      

                      
                          (51 - 13)"
"May 3, 2024",CO,HB 24-1460,Requires Law Enforcement Agencies to Investigate Allegations of Misconduct,"Bill Passed
                           - House
                      

                      
                          (50 - 14)"
"May 2, 2024",CO,SB 24-055,Expands Mental Health Support Programs for Individuals in the Agriculture Industry,"Bill Passed
                           - Senate
                      

                      
                          (28 - 7)"
"May 1, 2024",CO,SB 24-100,Establishes Expanded Commercial Vehicle Safety Measures on Colorado Highways,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (31 - 4)"
"May 1, 2024",CO,HB 24-1080,"Requires Private Youth Sports Organizations Have an Adult Certified in First Aid, CPR, and AED Treatment","Bill Passed
                           - Senate
                      

                      
                          (25 - 10)"
"May 1, 2024",CO,HB 24-1237,Establishes 3 new Programs Within the Division of Housing to Support the Development of Child Care Facilities,"Bill Passed
                           - House
                      

                      
                          (39 - 12)"
"May 1, 2024",CO,HB 24-1282,Increases Measures to Support Success Rates of Ninth-Grade Students in Public High Schools in Colorado,"Bill Passed
                           - House
                      

                      
                          (58 - 6)"
"April 30, 2024",CO,HB 24-1147,Requires Disclosure of the Usage of Deepfakes During an Election,"Concurrence Vote Passed
                           - House
                      

                      
                          (43 - 19)"
"April 30, 2024",CO,HB 24-1337,Amends Unit Ownership Rules Regarding Payment Owed to Community,"Concurrence Vote Passed
                           - House
                      

                      
                          (43 - 19)"
"April 30, 2024",CO,HB 24-1362,Authorizes Gray-Water Treatment Systems to be Installed in New State Construction Projects,"Concurrence Vote Passed
                           - House
                      

                      
                          (60 - 2)"
"April 30, 2024",CO,SB 24-131,Prohibits Carrying Firearms in Sensitive Spaces,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 12)"
"April 30, 2024",CO,HB 24-1233,Amends Requirements to Delinquency Payment Rules of Unit Owners Associations,"Concurrence Vote Passed
                           - House
                      

                      
                          (52 - 10)"
"April 30, 2024",CO,SB 24-100,Establishes Expanded Commercial Vehicle Safety Measures on Colorado Highways,"Bill Passed
                           - House
                      

                      
                          (60 - 4)"
"April 29, 2024",CO,SB 24-131,Prohibits Carrying Firearms in Sensitive Spaces,"Bill Passed
                           - House
                      

                      
                          (43 - 21)"
"April 29, 2024",CO,HB 24-1337,Amends Unit Ownership Rules Regarding Payment Owed to Community,"Bill Passed
                           - Senate
                      

                      
                          (22 - 12)"
"April 29, 2024",CO,SB 24-020,Authorizes Restaurants to Serve To-Go Alcohol Permanently,"Bill Passed
                           - House
                      

                      
                          (60 - 3)"
"April 29, 2024",CO,HB 24-1001,Extends the State's Rural Jump-Start Program,"Bill Passed
                           - House
                      

                      
                          (59 - 5)"
"April 29, 2024",CO,SB 24-151,Requires the Division of Homeland Security Create Rules for the Removal of Telecommunications Infrastructure Manuf ...,"Bill Passed
                           - Senate
                      

                      
                          (33 - 1)"
