"state","year","bill_num","bill_type","num_only","special","special_num","num_bill_mentions","share_cong_mentions","share_state_mentions","source","ex_article_path"
"NJ",1989,"ab0357","AB",357,0,NA,1,1,1,"newsbank","NJ/1989/03/19/0C9C3566D46E3280_19890319_0EAEA7A92CDDB3E4.xml"
"NJ",1989,"ab0859","AB",859,0,NA,1,0,0,"newsbank","NJ/1989/04/24/0C9C3566D46E3280_19890424_0EAEA7B88A32B96C.xml"
"NJ",1989,"ab0887","AB",887,0,NA,1,0,0,"newsbank","NJ/1989/01/12/0C9C3566D46E3280_19890112_0EAEA78C158A63D3.xml"
"NJ",1989,"ab1570","AB",1570,0,NA,1,0,0,"newsbank","NJ/1989/07/02/0C9C3566D46E3280_19890702_0EAEA7D5C5A107F4.xml"
"NJ",1989,"ab2305","AB",2305,0,NA,1,0,0,"newsbank","NJ/1989/04/24/0C9C3566D46E3280_19890424_0EAEA7B8B872D021.xml"
"NJ",1989,"ab2709","AB",2709,0,NA,2,0,0,"newsbank","NJ/1989/03/20/0C9C3566D46E3280_19890320_0EAEA7AA0098ED35.xml"
"NJ",1989,"ab3669","AB",3669,0,NA,1,0,0,"newsbank","NJ/1989/02/04/0C9C3566D46E3280_19890204_0EAEA795681E1781.xml"
"NJ",1989,"ab4198","AB",4198,0,NA,1,0,0,"newsbank","NJ/1989/10/22/0C9C3566D46E3280_19891022_0EAEA8054DF1DF3F.xml"
"NJ",1989,"ab4973","AB",4973,0,NA,1,1,0,"newsbank","NJ/1989/10/12/0C9C3566D46E3280_19891012_0EAEA800B7AE290E.xml"
"NJ",1989,"ab4986","AB",4986,0,NA,1,0,0,"newsbank","NJ/1989/11/24/0C9C3566D46E3280_19891124_0EAEA81354CF010D.xml"
"LA",1989,"hb0001","HB",1,0,NA,7,0,0,"newsbank","LA/1989/02/26/0C9C307698CA2800_19890226_0EB4753D266FCF48.xml"
"LA",1989,"hb0001","HB",1,1,NA,6,0,0,"newsbank","LA/1989/03/01/0C9C307698CA2800_19890301_0EB4753E02EF8CD6.xml"
"NH",1989,"hb0001","HB",1,0,NA,6,0.166666666666667,0.833333333333333,"newsbank","NH/1989/12/14/0C9C3411E8D2E900_19891214_0F544F9A5805FB1B.xml"
"NH",1989,"hb0001","HB",1,1,NA,10,0.1,0.1,"newsbank","NH/1989/12/12/0C9C3411E8D2E900_19891212_0F544F99EDDD4440.xml"
"PA",1989,"hb0001","HB",1,0,NA,1,0,0,"newsbank","PA/1989/01/18/0C9C352AB17A8D80_19890118_10D8A19A6308F443.xml"
"TX",1989,"hb0001","HB",1,0,NA,18,0,0.111111111111111,"newsbank","TX/1989/02/09/0C9C30CEEF1DD980_19890209_0EAD8945A48784A7.xml"
"TX",1989,"hb0001","HB",1,1,NA,4,0,0,"newsbank","TX/1989/03/13/0C9C30CEEF1DD980_19890313_0EAD89559BA349EE.xml"
"LA",1989,"hb0002","HB",2,0,NA,10,0,0.3,"newsbank","LA/1989/02/26/0C9C307698CA2800_19890226_0EB4753D266FCF48.xml"
"LA",1989,"hb0002","HB",2,1,NA,8,0,0,"newsbank","LA/1989/03/01/0C9C307698CA2800_19890301_0EB4753E02EF8CD6.xml"
"PA",1989,"hb0002","HB",2,0,NA,2,0,1,"newsbank","PA/1989/01/22/0C9C352AB17A8D80_19890122_10D8A19AF9F3E2B2.xml"
"LA",1989,"hb0003","HB",3,0,NA,1,0,0,"newsbank","LA/1989/06/03/0C9C307698CA2800_19890603_0EB47556744A1CA7.xml"
"PA",1989,"hb0004","HB",4,0,NA,2,0,0,"newsbank","PA/1989/08/09/0C9C352AB17A8D80_19890809_10D8A1C864AF0445.xml"
"LA",1989,"hb0007","HB",7,0,NA,1,1,0,"newsbank","LA/1989/07/08/0C9C307698CA2800_19890708_0EB4755F098912F5.xml"
"LA",1989,"hb0007","HB",7,1,NA,2,0,0,"newsbank","LA/1989/07/09/0C9C307698CA2800_19890709_0EB4755F34ACA365.xml"
"LA",1989,"hb0008","HB",8,0,NA,2,0.5,0,"newsbank","LA/1989/03/03/0C9C307698CA2800_19890303_0EB4753E82BAD3F4.xml"
"PA",1989,"hb0009","HB",9,1,NA,2,0,0,"newsbank","PA/1989/01/08/0C9C352AB17A8D80_19890108_10D8A1987899C5DA.xml"
"LA",1989,"hb0010","HB",10,1,NA,1,0,0,"newsbank","LA/1989/03/07/0C9C307698CA2800_19890307_0EB4753F85959DCF.xml"
"LA",1989,"hb0013","HB",13,1,NA,1,1,0,"newsbank","LA/1989/07/07/0C9C307698CA2800_19890707_0EB4755EC5EED01A.xml"
"LA",1989,"hb0014","HB",14,0,NA,1,0,0,"newsbank","LA/1989/02/26/0C9C307698CA2800_19890226_0EB4753D266FCF48.xml"
"LA",1989,"hb0017","HB",17,0,NA,8,0,0.25,"newsbank","LA/1989/02/26/0C9C307698CA2800_19890226_0EB4753D266FCF48.xml"
"LA",1989,"hb0017","HB",17,1,NA,3,0,0,"newsbank","LA/1989/03/08/0C9C307698CA2800_19890308_0EB4753FC3BA43C0.xml"
"LA",1989,"hb0018","HB",18,0,NA,12,0.166666666666667,0.0833333333333333,"newsbank","LA/1989/02/28/0C9C307698CA2800_19890228_0EB4753D9005E170.xml"
"LA",1989,"hb0018","HB",18,1,NA,3,0,0,"newsbank","LA/1989/03/03/0C9C307698CA2800_19890303_0EB4753E968238E1.xml"
"TX",1989,"hb0018","HB",18,0,NA,1,0,0,"newsbank","TX/1989/05/15/0C9C30CEEF1DD980_19890515_0EAD896DA8FD3379.xml"
"LA",1989,"hb0019","HB",19,0,NA,1,0,0,"newsbank","LA/1989/03/01/0C9C307698CA2800_19890301_0EB4753DE8345E2F.xml"
"LA",1989,"hb0020","HB",20,0,NA,1,0,0,"newsbank","LA/1989/03/01/0C9C307698CA2800_19890301_0EB4753DE8345E2F.xml"
"TX",1989,"hb0020","HB",20,0,NA,2,0,0,"newsbank","TX/1989/02/06/0C9C30CEEF1DD980_19890206_0EAD894425EA6C4D.xml"
"LA",1989,"hb0021","HB",21,0,NA,3,0.666666666666667,0,"newsbank","LA/1989/03/01/0C9C307698CA2800_19890301_0EB4753DE8345E2F.xml"
"LA",1989,"hb0021","HB",21,1,NA,1,1,0,"newsbank","LA/1989/07/07/0C9C307698CA2800_19890707_0EB4755EC5EED01A.xml"
"LA",1989,"hb0022","HB",22,0,NA,1,0,0,"newsbank","LA/1989/03/01/0C9C307698CA2800_19890301_0EB4753DE8345E2F.xml"
"LA",1989,"hb0023","HB",23,0,NA,2,0.5,0,"newsbank","LA/1989/03/01/0C9C307698CA2800_19890301_0EB4753DE8345E2F.xml"
"LA",1989,"hb0023","HB",23,1,NA,1,0,0,"newsbank","LA/1989/07/09/0C9C307698CA2800_19890709_0EB4755F34ACA365.xml"
"LA",1989,"hb0025","HB",25,0,NA,2,0,0,"newsbank","LA/1989/05/18/0C9C307698CA2800_19890518_0EB47552262FF2E8.xml"
