bill_id,term,session,data_name,title,introduced,action_in_comm,action_beyond_comm,passed_chamber,law,chamber_code,SS,commem
HB15-1001,2015_2016,2015-RS,pettersen b.,Early Childhood Educator Development Scholarships,1,1,1,1,0,H,0,0
HB15-1002,2015_2016,2015-RS,lee p.,Modifications To Economic Gardening Pilot Project,1,1,1,1,0,H,0,0
HB15-1003,2015_2016,2015-RS,tyler m.,Fund Safe Routes To School Program,1,1,1,1,0,H,0,0
HB15-1004,2015_2016,2015-RS,tyler m.,Firefighter Motorcycle License Plate,1,1,1,1,1,H,0,0
HB15-1005,2015_2016,2015-RS,navarro c.,Veterans Free Admission State Parks,1,1,0,0,0,H,0,0
HB15-1006,2015_2016,2015-RS,coram d.,Invasive Phreatophyte Grant Program,1,1,1,1,1,H,0,0
HB15-1007,2015_2016,2015-RS,singer j.,Local Government Retail Marijuana Taxes,1,1,1,1,0,H,0,0
HB15-1008,2015_2016,2015-RS,hamner m.,Ag Land Destroyed By Natural Causes,1,1,1,1,1,H,0,0
HB15-1009,2015_2016,2015-RS,humphrey s.,Repeal Large Ammo Magazine Ban,1,1,0,0,0,H,0,0
HB15-1010,2015_2016,2015-RS,kraft-tharp t.,Trustee Notice System Presume Notify Beneficiary,1,1,1,1,1,H,0,0
HB15-1011,2015_2016,2015-RS,rosenthal p.,Restrict Revealing How Person Votes,1,1,0,0,0,H,0,0
HB15-1012,2015_2016,2015-RS,becker j.,Sales & Use Tax Exemption For Dyed Diesel,1,1,1,1,1,H,0,0
HB15-1013,2015_2016,2015-RS,coram d.,South Platte Aquifer Study Recommendations,1,1,1,1,1,H,0,0
HB15-1014,2015_2016,2015-RS,dore t.,Biennial Registration Seasonal Farm Motor Vehicles,1,1,0,0,0,H,0,0
HB15-1015,2015_2016,2015-RS,winter f.,Interstate Compact EMS Providers,1,1,1,1,1,H,0,0
HB15-1016,2015_2016,2015-RS,coram d.,Promote Precipitation Harvesting Pilot Projects,1,1,1,1,1,H,0,0
HB15-1017,2015_2016,2015-RS,hamner m.,Volunteer Fire Department Organization,1,1,1,1,1,H,0,0
HB15-1018,2015_2016,2015-RS,danielson j.,Protecting Seniors From Elder Abuse,1,1,1,1,0,H,0,0
HB15-1019,2015_2016,2015-RS,lundeen p.,Victims Of Human Trafficking And Prostitution,1,1,1,1,1,H,0,0
HB15-1020,2015_2016,2015-RS,wilson j.,Funding For Full-day Kindergarten,1,1,0,0,0,H,0,0
HB15-1021,2015_2016,2015-RS,willett y.,Conform Statutory Court Dates To 7-day Intervals,1,1,1,1,1,H,0,0
HB15-1022,2015_2016,2015-RS,mccann e.,Juvenile Petty Offense Contracts,1,1,1,1,1,H,0,0
HB15-1023,2015_2016,2015-RS,lontine s.,Day Treatment Center Age Of Children Served,1,1,1,1,1,H,0,0
HB15-1024,2015_2016,2015-RS,pettersen b.,Increasing Number Of CO Preschool Program Students,1,1,0,0,0,H,0,0
HB15-1025,2015_2016,2015-RS,rosenthal p.,Competency To Proceed Juvenile Justice System,1,1,0,0,0,H,0,0
HB15-1026,2015_2016,2015-RS,roupe c.,Reserved Parking Disabled Military License Plates,1,1,1,1,1,H,0,0
HB15-1027,2015_2016,2015-RS,salazar j.,In-state Tuition American Indian Tribes Ties to CO,1,1,1,1,0,H,0,0
HB15-1028,2015_2016,2015-RS,keyser,Repeal Merchant Licensing,1,1,1,1,1,H,0,0
HB15-1029,2015_2016,2015-RS,buck p.,Health Care Delivery Via Telemedicine Statewide,1,1,1,1,1,H,0,0
HB15-1030,2015_2016,2015-RS,landgraf l.,Employment Services For Veterans Pilot Program,1,1,1,1,1,H,0,0
HB15-1031,2015_2016,2015-RS,windholz j.,Ban Use Sale Possession Of Powdered Alcohol,1,1,1,1,1,H,1,0
HB15-1032,2015_2016,2015-RS,singer j.,Licensed Mental Health Professionals Treat Minors,1,1,1,1,1,H,0,0
HB15-1033,2015_2016,2015-RS,primavera d.,Strategic Planning Group On Aging,1,1,1,1,1,H,0,0
HB15-1034,2015_2016,2015-RS,vigil e.,Add Judge In Twelfth Judicial District,1,1,1,1,1,H,0,0
HB15-1035,2015_2016,2015-RS,fields r.,Update Crime Victim Compensation Laws,1,1,1,1,1,H,0,0
HB15-1036,2015_2016,2015-RS,tate j.,Warn Pregnant Women Med Marijuana Dangers,1,1,0,0,0,H,0,0
HB15-1037,2015_2016,2015-RS,priola k.,Religious Freedom Student Groups Higher Ed,1,1,0,0,0,H,0,0
HB15-1038,2015_2016,2015-RS,arndt j.,Flexible Water Markets,1,1,1,1,0,H,0,0
HB15-1039,2015_2016,2015-RS,tyler m.,Prescription Give-back For Institutions,1,1,1,1,1,H,0,0
HB15-1040,2015_2016,2015-RS,thurlow d.,Modify HOA Management Licensing Requirements,1,1,0,0,0,H,0,0
HB15-1041,2015_2016,2015-RS,humphrey s.,Protect Human Life At Conception,1,1,0,0,0,H,0,0
HB15-1042,2015_2016,2015-RS,foote m.,Presentence Reports By Probation Officers,1,1,1,1,1,H,0,0
HB15-1043,2015_2016,2015-RS,saine l.,Felony Offense For Repeat DUI Offenders,1,1,1,1,1,H,0,0
HB15-1044,2015_2016,2015-RS,klingenschmitt g.,Periodic Legislative Review Executive Branch Rules,1,1,0,0,0,H,0,0
HB15-1045,2015_2016,2015-RS,ryden s.,Veterans Entrance Fee State Parks,1,1,1,1,1,H,0,0
HB15-1046,2015_2016,2015-RS,moreno d.,Highway Project Contract Amount Limit Waivers,1,1,1,1,1,H,0,0
