term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2017_2018,House,j. arndt,"arndt, jeni",,,322656,klarner_id,2.6469966026977523,0.03540928973130598,0.03540928973130598,0.04085801838610827,0.04004133298889176,0.03735325506937033,31,31,29,28,21,3,3,3,3,0,28,28,26,25,21,0,0,0,0,0,31,0.9032258064516129,0.6774193548387096,,2,2.8541863854318006
2017_2018,House,m. hamner,"hamner, millie",,,309440,klarner_id,3.3392060216719712,0.03978337846282025,0.03978337846282025,0.04877425944841675,0.049341255489537585,0.060832443970117396,37,37,37,37,33,2,2,2,2,2,34,34,34,34,30,1,1,1,1,1,37,1.0,0.8918918918918919,,1,3.756272794914426
2017_2018,House,m. foote,"foote, mike",,,309307,klarner_id,2.1830652051860775,0.03124349093938763,0.03124349093938763,0.03447395301327886,0.032291397571686906,0.026680896478121666,21,21,19,18,11,9,9,8,7,4,12,12,11,11,7,0,0,0,0,0,21,0.8571428571428571,0.5238095238095238,,3,1.80846313658832
2017_2018,House,j. becker,"becker, jon",,,296036,klarner_id,1.1360375577283084,0.0166631951676734,0.0166631951676734,0.014044943820224719,0.014208214931542238,0.019565990750622556,14,14,9,9,9,2,2,2,2,2,12,12,7,7,7,0,0,0,0,0,14,0.6428571428571429,0.6428571428571429,,25,1.1125095530900992
2017_2018,House,t. kraft-tharp,"krafttharp, tracy",,,309358,klarner_id,1.993015651652191,0.024994792751510102,0.024994792751510102,0.030643513789581207,0.02970808576595195,0.032017075773746,22,22,22,21,17,2,2,2,2,1,20,20,20,19,16,0,0,0,0,0,22,0.9545454545454546,0.7727272727272727,,6,2.138314078943816
2017_2018,House,m. gray,"gray, matt",,,362349,klarner_id,1.437801683736421,0.018746094563632576,0.018746094563632576,0.019152196118488254,0.01937483854301214,0.026680896478121666,17,17,14,14,14,1,1,1,1,1,16,16,13,13,13,0,0,0,0,0,17,0.8235294117647058,0.8235294117647058,,18,1.566827725859453
2017_2018,House,p. lee,"lee, pete",,,283519,klarner_id,2.13560968452357,0.024994792751510102,0.024994792751510102,0.030643513789581207,0.030999741668819428,0.040910707933119884,22,22,22,22,21,2,2,2,2,2,20,20,20,20,19,0,0,0,0,0,22,1.0,0.9545454545454546,,4,2.2723653410040443
2017_2018,House,l. herod,"herod, leslie",,,362287,klarner_id,1.5499358022858036,0.019787544261612163,0.019787544261612163,0.022982635342185902,0.02324980625161457,0.024902170046246886,16,16,15,15,12,3,3,3,3,2,13,13,12,12,10,0,0,0,0,0,16,0.9375,0.75,,11,1.5181791797365753
2017_2018,House,j. ginal,"ginal, joann",,,309414,klarner_id,1.8687336142826423,0.02603624244948969,0.02603624244948969,0.028089887640449437,0.028416429863084475,0.024902170046246886,21,21,18,18,12,4,4,4,4,2,17,17,14,14,10,0,0,0,0,0,21,0.8571428571428571,0.5714285714285714,,9,1.8157621866871674
2017_2018,House,k. becker,"becker, k. c.",,,322574,klarner_id,1.4709708706498816,0.018746094563632576,0.018746094563632576,0.022982635342185902,0.02324980625161457,0.021344717182497332,13,13,13,13,7,5,5,5,5,5,8,8,8,8,2,0,0,0,0,0,13,1.0,0.5384615384615384,,13,1.1900853847868473
