bill_id,term,session,data_name,title,introduced,action_in_comm,action_beyond_comm,passed_chamber,law,chamber_code,SS,commem
HB23-1001,2023_2024,2023-RS,c. kipp,Expanding Assistance For Educator Programs,1,1,1,1,1,H,0,0
HB23-1002,2023_2024,2023-RS,j. mabrey,Epinephrine Auto-injectors,1,1,1,1,1,H,1,0
HB23-1003,2023_2024,2023-RS,d. michaelson jenet,School Mental Health Assessment,1,1,1,1,1,H,0,0
HB23-1004,2023_2024,2023-RS,e. velasco,Language Access In Insurance Documents,1,1,1,1,1,H,0,0
HB23-1005,2023_2024,2023-RS,j. willford,New Energy Improvement Program Changes,1,1,1,1,1,H,0,0
HB23-1006,2023_2024,2023-RS,m. young,Employer Notice Of Income Tax Credits,1,1,1,1,1,H,1,0
HB23-1007,2023_2024,2023-RS,m. catlin,Higher Education Crisis And Suicide Prevention,1,1,1,1,1,H,0,0
HB23-1008,2023_2024,2023-RS,m. weissman,Food Accessibility,1,1,1,1,1,H,0,0
HB23-1009,2023_2024,2023-RS,m. lindsay,Secondary School Student Substance Use,1,1,1,1,1,H,0,0
HB23-1010,2023_2024,2023-RS,b. mclachlan,Task Force On High-altitude Water Storage,1,1,0,0,0,H,0,0
HB23-1011,2023_2024,2023-RS,b. titone,Consumer Right To Repair Agricultural Equipment,1,1,1,1,1,H,1,0
HB23-1012,2023_2024,2023-RS,j. amabile,Juvenile Competency To Proceed,1,1,1,1,1,H,0,0
HB23-1013,2023_2024,2023-RS,j. amabile,Use Of Restrictive Practices In Prisons,1,1,1,1,1,H,0,0
HB23-1014,2023_2024,2023-RS,a. boesenecker,Yield To Larger Vehicles In Roundabouts,1,1,1,1,1,H,0,0
HB23-1015,2023_2024,2023-RS,s. bird,Taxation Tobacco Products Remote Retail Sellers,1,1,1,1,1,H,0,0
HB23-1016,2023_2024,2023-RS,s. bird,Temp Tax Credit For Public Service Retirees,1,1,0,0,0,H,0,0
HB23-1017,2023_2024,2023-RS,c. kipp,Electronic Sales And Use Tax Simplification System,1,1,1,1,1,H,0,0
HB23-1018,2023_2024,2023-RS,m. lynch,Timber Industry Incentives,1,1,0,0,0,H,0,0
HB23-1019,2023_2024,2023-RS,m. weissman,Judicial Discipline Procedures And Reporting,1,1,1,1,1,H,0,0
HB23-1020,2023_2024,2023-RS,n. ricks,Social Equity Licenses In Regulated Marijuana,1,1,1,1,0,H,0,0
HB23-1021,2023_2024,2023-RS,m. snyder,Embargo And Destroy Marijuana,1,1,1,1,1,H,0,0
HB23-1022,2023_2024,2023-RS,m. froelich,Registration Of Vehicles In Rental Fleets,1,1,1,1,1,H,0,0
HB23-1023,2023_2024,2023-RS,w. lindstedt,Special District Construction Contracts,1,1,1,1,1,H,0,0
HB23-1024,2023_2024,2023-RS,s. gonzales-gutierrez,Relative And Kin Placement Of A Child,1,1,1,1,1,H,0,0
HB23-1025,2023_2024,2023-RS,r. taggart,Charter School Application Timelines,1,1,1,1,1,H,0,0
HB23-1026,2023_2024,2023-RS,r. english,Family Time For Grandparents,1,1,1,1,1,H,0,0
HB23-1027,2023_2024,2023-RS,j. joseph,Parent And Child Family Time,1,1,1,1,1,H,0,0
HB23-1028,2023_2024,2023-RS,m. bradfield,Name Badge For Former Member Of General Assembly,1,1,1,1,0,H,0,0
HB23-1029,2023_2024,2023-RS,b. bradley,Prohibit COVID-19 Vaccine To Minor Without Consent,1,1,0,0,0,H,0,0
HB23-1030,2023_2024,2023-RS,e. sirota,Prohibit Direct-hire Fee Health-care Staff Agency,1,1,1,1,1,H,0,0
HB23-1031,2023_2024,2023-RS,t. story,Mental Health Professionals Reporting Exemption,1,1,1,1,1,H,0,0
HB23-1032,2023_2024,2023-RS,d. ortiz,Remedies Persons With Disabilities,1,1,1,1,1,H,0,0
HB23-1033,2023_2024,2023-RS,s. sharbini,Alternate Defense Counsel Contracts,1,1,1,1,1,H,0,0
HB23-1034,2023_2024,2023-RS,l. daugherty,Measures To Expand Postconviction DNA Testing,1,1,1,1,1,H,0,0
HB23-1035,2023_2024,2023-RS,m. soper,Statute Of Limitations Minimum Wage Violations,1,1,0,0,0,H,0,0
HB23-1036,2023_2024,2023-RS,b. mclachlan,Nontoxic Bullet Replacement Hunting Program,1,1,1,1,1,H,0,0
HB23-1037,2023_2024,2023-RS,m. martinez,Department Of Corrections Earned Time For College Program Completion,1,1,1,1,1,H,0,0
HB23-1038,2023_2024,2023-RS,r. bockenfeld,Stolen Catalytic Converter Replacement Exemption,1,1,0,0,0,H,0,0
HB23-1039,2023_2024,2023-RS,s. bird,Electric Resource Adequacy Reporting,1,1,1,1,1,H,0,0
HB23-1040,2023_2024,2023-RS,s. lieder,Prader-Willi Syndrome,1,1,1,1,1,H,0,0
HB23-1041,2023_2024,2023-RS,m. duran,Prohibit Wagering On Simulcast Greyhound Races,1,1,1,1,1,H,0,0
HB23-1042,2023_2024,2023-RS,j. bacon,Admissibility Standards For Juvenile Statements,1,1,1,1,1,H,0,0
HB23-1043,2023_2024,2023-RS,m. lindsay,Emergency And Continued Placement With Relative Or Kin,1,1,1,1,1,H,0,0
HB23-1044,2023_2024,2023-RS,k. degraaf,Second Amendment Preservation Act,1,1,0,0,0,H,0,0
HB23-1045,2023_2024,2023-RS,g. evans,Employee Leave For Colorado National Guard Service,1,1,1,1,1,H,0,0
